Log Time (UTC), 03.17.39.41.276,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.41.476,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.41.677,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.41.877,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.45.515,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.45.715,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.45.916,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.46.117,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.46.317,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.47.523,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.47.723,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.47.924,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.55.448,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.55.648,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.55.849,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.56.050,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.56.250,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.56.451,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.56.651,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.56.852,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.57.052,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.57.254,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.57.455,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.57.655,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.57.857,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.58.057,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.39.58.257,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
Log Time (UTC), 03.17.44.04.320,Vehicle Length, [Double], 1.47320,Vehicle Width, [Double], 0.90170,
